[658, 263, 659, 276]
[659, 276, 659, 289]
[659, 289, 655, 299]
[655, 299, 656, 293]
[656, 293, 659, 267]
[659, 267, 653, 238]
[653, 238, 642, 217]
[642, 217, 627, 200]
[627, 200, 625, 202]
[625, 202, 629, 215]
[629, 215, 629, 228]
[629, 228, 628, 231]
[628, 231, 628, 211]
[628, 211, 622, 201]
[622, 201, 619, 206]
[619, 206, 620, 219]
[620, 219, 613, 230]
[613, 230, 601, 216]
[601, 216, 584, 189]
[584, 189, 590, 203]
[590, 203, 593, 218]
[593, 218, 591, 225]
[591, 225, 586, 209]
[586, 209, 581, 199]
[581, 199, 572, 190]
[572, 190, 562, 177]
[562, 177, 540, 140]
[540, 140, 536, 111]
[536, 111, 535, 123]
[535, 123, 535, 143]
[535, 143, 536, 161]
[536, 161, 546, 185]
[546, 185, 556, 204]
[556, 204, 562, 217]
[562, 217, 558, 219]
[558, 219, 547, 203]
[547, 203, 538, 188]
[538, 188, 531, 173]
[531, 173, 520, 135]
[520, 135, 516, 110]
[516, 110, 514, 98]
[514, 98, 514, 137]
[514, 137, 514, 168]
[514, 168, 517, 197]
[517, 197, 525, 224]
[525, 224, 521, 233]
[521, 233, 479, 212]
[479, 212, 463, 190]
[463, 190, 452, 169]
[452, 169, 461, 203]
[461, 203, 466, 221]
[466, 221, 460, 212]
[460, 212, 441, 157]
[441, 157, 432, 133]
[432, 133, 428, 120]
[428, 120, 429, 119]
[429, 119, 425, 170]
[425, 170, 429, 199]
[429, 199, 435, 217]
[435, 217, 440, 231]
[440, 231, 435, 226]
[435, 226, 417, 193]
[417, 193, 415, 141]
[415, 141, 416, 108]
[416, 108, 404, 122]
[404, 122, 389, 170]
[389, 170, 383, 215]
[383, 215, 383, 237]
[383, 237, 372, 233]
[372, 233, 359, 207]
[359, 207, 360, 229]
[360, 229, 365, 246]
[365, 246, 353, 226]
[353, 226, 348, 178]
[348, 178, 350, 177]
[350, 177, 347, 216]
[347, 216, 350, 240]
[350, 240, 346, 238]
[346, 238, 341, 225]
[341, 225, 343, 242]
[343, 242, 347, 262]
[347, 262, 347, 270]
[347, 270, 337, 241]
[337, 241, 335, 233]
[335, 233, 336, 254]
[336, 254, 341, 285]
[341, 285, 347, 312]
[347, 312, 340, 305]
[340, 305, 338, 306]
[338, 306, 346, 333]
[346, 333, 348, 343]
[348, 343, 331, 324]
[331, 324, 331, 323]
[331, 323, 344, 344]
[344, 344, 352, 357]
[352, 357, 363, 364]
[363, 364, 359, 369]
[359, 369, 330, 344]
[330, 344, 315, 311]
[315, 311, 316, 327]
[316, 327, 318, 340]
[318, 340, 317, 358]
[317, 358, 311, 379]
[311, 379, 310, 390]
[309, 389, 321, 398]
[321, 398, 334, 403]
[334, 403, 346, 400]
[346, 400, 337, 377]
[337, 377, 333, 363]
[333, 363, 327, 347]
[327, 347, 326, 337]
[477, 417, 478, 418]
[477, 417, 471, 431]
[471, 431, 468, 441]
[468, 441, 469, 456]
[469, 456, 476, 471]
[476, 471, 484, 481]
[484, 481, 496, 489]
[496, 489, 509, 487]
[509, 487, 520, 481]
[520, 481, 533, 467]
[533, 467, 543, 452]
[543, 452, 549, 433]
[549, 433, 544, 420]
[544, 420, 528, 413]
[528, 413, 508, 412]
[508, 412, 492, 414]
[492, 414, 472, 418]
[472, 418, 468, 419]
[495, 415, 496, 416]
[495, 415, 511, 417]
