[916, 469, 917, 470]
[916, 469, 921, 475]
[921, 475, 924, 479]
[728, 238, 729, 239]
[728, 238, 720, 215]
[720, 215, 712, 197]
[712, 197, 703, 187]
[703, 187, 695, 177]
[695, 177, 689, 170]
[689, 170, 686, 166]
[686, 166, 684, 173]
[684, 173, 683, 180]
[683, 180, 680, 187]
[680, 187, 675, 193]
[675, 193, 671, 199]
[671, 199, 663, 206]
[663, 206, 659, 213]
[659, 213, 659, 225]
[659, 225, 661, 235]
[661, 235, 663, 243]
[663, 243, 664, 251]
[664, 251, 664, 258]
[664, 258, 664, 265]
[664, 265, 663, 271]
[663, 271, 662, 277]
[662, 277, 660, 279]
[661, 215, 662, 216]
[661, 215, 649, 202]
[649, 202, 644, 194]
[644, 194, 632, 175]
[632, 175, 629, 167]
[629, 167, 620, 153]
[620, 153, 617, 147]
[617, 147, 614, 141]
[614, 141, 611, 138]
[611, 138, 605, 142]
[605, 142, 591, 153]
[591, 153, 579, 160]
[579, 160, 562, 171]
[562, 171, 545, 182]
[545, 182, 540, 189]
[540, 189, 527, 207]
[527, 207, 522, 215]
[522, 215, 513, 224]
[513, 224, 503, 234]
[503, 234, 498, 241]
[498, 241, 493, 252]
[493, 252, 482, 265]
[482, 265, 476, 272]
[476, 272, 474, 278]
[474, 278, 473, 284]
[473, 284, 466, 268]
[466, 268, 457, 252]
[457, 252, 449, 239]
[449, 239, 434, 223]
[434, 223, 431, 217]
[431, 217, 420, 203]
[420, 203, 403, 189]
[403, 189, 387, 176]
[387, 176, 364, 159]
[364, 159, 348, 146]
[348, 146, 343, 141]
[343, 141, 335, 134]
[335, 134, 333, 136]
[333, 136, 332, 145]
[332, 145, 332, 154]
[332, 154, 330, 161]
[330, 161, 327, 169]
[327, 169, 323, 175]
[323, 175, 308, 195]
[308, 195, 303, 207]
[303, 207, 299, 224]
[299, 224, 297, 243]
[297, 243, 294, 263]
[294, 263, 293, 276]
[293, 276, 292, 278]
[419, 193, 420, 194]
[419, 193, 427, 186]
[427, 186, 435, 177]
[435, 177, 441, 171]
[441, 171, 447, 167]
[447, 167, 451, 161]
[451, 161, 456, 155]
[456, 155, 460, 155]
[460, 155, 468, 161]
[468, 161, 478, 170]
[478, 170, 484, 175]
[484, 175, 491, 181]
[491, 181, 499, 188]
[499, 188, 505, 192]
[505, 192, 511, 197]
[511, 197, 516, 202]
[516, 202, 520, 206]
[520, 206, 522, 208]
[422, 188, 423, 189]
[422, 188, 416, 189]
